GENUS	SPECIES	SUBSPECIES	REFERENCE	STATUS	AUTHORS	REMARKS	RISK_GRP	TYPE_STRAINS	RECORD_NO	RECORD_LNK
Deinococcus	grandis		47:513*	comb. nov. (VP)	(Oyaizu et al. 1987) Rainey et al. 1997		1	ATCC 43672, DSM 3963, IAM 13005, KS 0485	775463	
Deinococcus	hohokamensis		55:2235	sp. nov. (VL)	Rainey and da Costa 2005		1	KR-40, LMG 22129, NRRL B-23949	775464	
Deinococcus	hopiensis		55:2235	sp. nov. (VL)	Rainey and da Costa 2005		1	KR-140, LMG 22133, NRRL B-23943	775465	
Deinococcus	humi		62:2849*	sp. nov. (VP)	Srinivasan et al. 2012		1	MK03, JCM 17915, KCTC 13619	790318	
Deinococcus	indicus		54:460*	sp. nov. (VP)	Suresh et al. 2004		1	DSM 15307, MTCC 4913, Wt/1a	775466	
Deinococcus	knuensis		67:1096	sp. nov. (VL)	Lee et al. 2017			16F3H, KCTC 33794, JCM 31406	795351	
Deinococcus	maricopensis		55:2235	sp. nov. (VL)	Rainey and da Costa 2005		1	LB-34, LMG 22137, NRRL B-23946	775467	
Deinococcus	marmoris		56:925	sp. nov. (VL)	Hirsch et al. 2006		1	AA-63, DSM 12784, NRRL B-41042	775468	
Deinococcus	metalli		65:3461*	sp. nov. (VP)	Feng et al. 2015			1PNM-19, GIMCC 1.654, CCTCC AB 2014198, DSM 27521	793307	
Deinococcus	metallilatus		65:3181*	sp. nov. (VP)	Kim et al. 2015			MA1002, KACC 17964, NBRC 110141	793163	
Deinococcus	misasensis		58:2471	sp. nov. (VL)	Asker et al. 2008		1	TDMA-25, CCUG 53610, JCM 14369, NBRC 102116	787599	
Deinococcus	mumbaiensis		56:925	sp. nov. (VL), heterotypic syn.	Shashidhar and Bandekar 2006	synonymy: IJSEM 59:365/366*	1	CON-1, DSM 17424, MTCC 7297	775469	783725
Deinococcus	murrayi		47:945*	sp. nov. (VP)	Ferreira et al. 1997		1	ALT-1b, DSM 11303	775470	
Deinococcus	navajonensis		55:2235	sp. nov. (VL)	Rainey and da Costa 2005		1	KR-114, LMG 22131, NRRL B-23951	775471	
Deinococcus	papagonensis		55:2235	sp. nov. (VL)	Rainey and da Costa 2005		1	KR-241, LMG 22139, NRRL B-23961	783726	
Deinococcus	peraridilitoris		57:1411*	sp. nov. (VP)	Rainey et al. 2007		1	KR-200, LMG 22246, CIP 109416	786535	
Deinococcus	persicinus		66:5080*	sp. nov. (VP)	Jeon et al. 2016			KSY3-6, KCTC 33787, JCM 31313	794923	
Deinococcus	phoenicis		64:3446*	sp. nov. (VP)	Vaishampayan et al. 2014			1P10ME, NRRL B-59546, DSM 27173	792230	
Deinococcus	pimensis		55:2235	sp. nov. (VL)	Rainey and da Costa 2005		1	KR-235, LMG 22244, NRRL B-23994	775473	
Deinococcus	piscis		59:2717*	sp. nov. (VP)	Shashidhar and Bandekar 2009		1	3ax, DSM 19767, MTCC9123	788181	
Deinococcus	proteolyticus		31:357*	sp. nov., nom. rev. (VP)	(ex Kobatake et al. 1973) Brooks and Murray 1981	"basonym ""<I>Micrococcus radioproteolyticus</I>"""	1	ATCC 35074, CCM 2703, DSM 20540, UWO 1056	775474	
Deinococcus	puniceus		67:1096	sp. nov. (VL)	Lee et al. 2017			DY1, JCM 18576, KCTC 33027	795354	
Deinococcus	radiodurans		31:354*	sp. nov., nom. rev. (VP)	(ex Raj et al. 1960) Brooks and Murray 1981	"basonym ""<I>Micrococcus radiodurans</I>"""	1	ATCC 13939, CCM 1700, DSM 20539, IMET 10603, NCIB 9279, UWO 288	775475	
Deinococcus	radiomollis		58:1256*	sp. nov. (VP)	Callegan et al. 2008 (complete authorship reads Callegan, da Costa and Rainey)		1	PO-04-20-132, LMG 24019, NRRL B-41950	787335	
Deinococcus	radiophilus		31:357*	sp. nov., nom. rev. (VP)	(ex Lewis 1973) Brooks and Murray 1981	"basonym ""<I>Micrococcus radiophilus</I>"""	1	ATCC 27603, CCM 2564, DSM 20551, NCIB 10648, NCTC 10785, UWO 1055	775476	
Deinococcus	radiopugnans		31:358*	sp. nov. (VP)	Brooks and Murray 1981		1	ATCC 19172, DSM 12027, UWO 293	775477	
Deinococcus	radioresistens		66:4300	sp. nov. (VL)	Srinivasan et al. 2016			8A, JCM 19777, KEMB 9004-109	794746	
Deinococcus	radiotolerans		65:741	sp. nov. (VL)	Cha et al. 2015			C1, KCTC 33150, JCM 19173	792639	
Deinococcus	reticulitermitis		62:82*	sp. nov. (VP)	Chen et al. 2012		1	TM-1, CGMCC 1.10218, NBRC 106334	789623	
Deinococcus	roseus		58:2471	sp. nov. (VL)	Asker et al. 2008		1	TDMA-uv51, CCUG 53611, JCM 14370, NBRC 102117	787600	
Deinococcus	ruber		67:75*	sp. nov. (VP)	Kim et al. 2017			JSH3-1, KCTC 33790, JCM 31311	795035	
Deinococcus	saudiensis		66:5110*	sp. nov. (VP)	Hussain et al. 2016			YIM F302, CGMCC 1.15089, DSM 29933	794924	
Deinococcus	saxicola		56:925	sp. nov. (VL)	Hirsch et al. 2006		1	AA-1444, DSM 15974, NRRL B-41043	775478	
Deinococcus	sedimenti		67:1096	sp. nov. (VL)	Lee et al. 2017			16F1L, KCTC 33796, JCM 31405	795371	
Deinococcus	seoulensis		66:4300	sp. nov. (VL)	Lee et al. 2016			16F1E, JCM 31404, KCTC 33793	794745	
Deinococcus	soli		66:3762	sp. nov. (VL)	Cha et al. 2016			N5, JCM 19176, KCTC 33153	794458	
Deinococcus	sonorensis		55:2236	sp. nov. (VL)	Rainey and da Costa 2005		1	KR-87, LMG 22172, NRRL B-23941	775479	
Deinococcus	swuensis		65:741	sp. nov. (VL)	Lee et al. 2015			DY59, KCTC 33033, JCM 18581	792640	
Deinococcus	wulumuqiensis		60:2009*	sp. nov. (VP)	Wang et al. 2010 emend. Hong et al. 2015	emended description: IJSEM 65:1084/1085*	1	R12, CGMCC 1.8884, NBRC 105665, DSM 28115	788760	
Deinococcus	xibeiensis		60:2009*	sp. nov. (VP), heterotypic syn.	Wang et al. 2010	synonymy: IJSEM 65:1084*	1	R13, CGMCC 1.8885, NRBC 105666	788761	788760
Deinococcus	xinjiangensis		59:712*	sp. nov. (VP)	Peng et al. 2009		1	X-82, CCTCC AB 207226, NRRL B-51287	787776	
Deinococcus	yavapaiensis		55:2236	sp. nov. (VL)	Rainey and da Costa 2005		1	KR-236, LMG 22171, NRRL B-23960	775481	
Deinococcus	yunweiensis		57:373*	sp. nov. (VP)	Zhang et al. 2007		1	YIM 007, DSM 17005, KCTC 3962	785956	
Deleya			33:800*	gen. nov. (VP), heterotypic syn.	Baumann et al. 1983	genus unified with the genus Halomonas; IJSB 46:556*			515485	517051
Deleya	aesta		33:801*	comb. nov. (VP), heterotypic syn.	(Baumann et al. 1972) Baumann et al. 1983	synonymy: IJSB 39:466*	1, n	134, ATCC 27128, DSM 4739	775488	776756
Deleya	aquamarina		39:466*	comb. nov. (VP)	(ZoBell and Upham 1944) Akagawa and Yamasato 1989		1, n	ATCC 14400, DSM 30161, IAM 12550, NCMB 557	775489	776756
Deleya	cupida		33:801*	comb. nov. (VP)	(Baumann et al. 1972) Baumann et al. 1983		1	79, ATCC 27124, DSM 4740	775490	776762
Deleya	halophila		34:290*	sp. nov. (VP)	Quesada et al. 1984		1	CCM 3662, DSM 4770, F5-7	775491	776770
Deleya	marina		33:801*	comb. nov. (VP), homotypic syn.	(Cobet et al. 1970) Baumann et al. 1983		1	219, ATCC 25374, DSM 4741	775492	775028
Deleya	pacifica		33:801*	comb. nov. (VP)	(Baumann et al. 1972) Baumann et al. 1983		1	62, ATCC 27122, DSM 4742	775493	776782
Deleya	salina		41:382*	sp. nov. (VP)	Valderrama et al. 1991		1	ATCC 49509, DSM 5928, F8-11	775494	776784
Deleya	venusta		33:801*	comb. nov. (VP)	(Baumann et al. 1972) Baumann et al. 1983		1	86, ATCC 27125, DSM 4743	775496	776791
Delftia			49:573*	gen. nov. (VP)	Wen et al. 1999				515486	
Delftia	acidovorans		49:573*	comb. nov. (VP)	(den Dooren de Jong 1926) Wen et al. 1999		1, +	ACM 489, ATCC 15668, DSM 39, IAM 12409, IMET 10620, JCM 5833, KS 0057, LMG 1226, NCIB 9681	775497	
Delftia	deserti		65:2778	sp. nov. (VL)	Li et al. 2015			YIM Y792, JCM 30639, KCTC 42377	793255	
Delftia	lacustris		59:2199*	sp. nov. (VP)	Jørgensen et al. 2009		1	332, DSM 21246, LMG 24775	788102	
Delftia	litopenaei		62:2320*	sp. nov. (VP)	Chen et al. 2012		1	wsw-7, BCRC 80212, LMG 25724	790223	
Delftia	rhizosphaerae		67:1960*	sp. nov. (VP)	Carro et al. 2017			RA6, LMG 29737, CECT 9171	795422	
Delftia	tsuruhatensis		53:1482*	sp. nov. (VP)	Shigematsu et al. 2003 emend. Jørgensen et al. 2009	emended description: IJSEM 59:2197/2198*	1	ATCC BAA-554, IFO 16741, T7, DSM 17581	775499	
Demequina			57:154*	gen. nov. (VP)	Yi et al. 2007 emend. Ue et al. 2011 emend. Park et al. 2016	emended descriptions: IJSEM 61:1325* and IJSEM 66:4202*			517498	
Demequina	activiva		65:2047*	sp. nov. (VP)	Park et al. 2015			BS-12M, KCTC 29674, NBRC 110675	792907	
Demequina	aestuarii		57:154*	sp. nov. (VP)	Yi et al. 2007		1	JC2054, IMSNU 14027, KCTC 9919, JCM 12123	785847	
Demequina	aurantiaca		61:1328*	sp. nov. (VP)	Ue et al. 2011		1	YM12-102, KCTC 19745, MBIC 08347, NBRC 106265	789281	
Demequina	flava		63:252*	sp. nov. (VP)	Hamada et al. 2013		1	HR08-7, DSM 24865, NBRC 105854	790420	
Demequina	globuliformis		61:1327*	sp. nov. (VP)	Ue et al. 2011		1	YM24-125, KCTC 19747, MBIC 08349, NBRC 106266	789282	
Demequina	litorisediminis		66:4202*	sp. nov. (VP)	Park et al. 2016			GHD-1, KCTC 52260, NBRC 112299	794627	
Demequina	lutea		59:652*	sp. nov. (VP)	Finster et al. 2009		1	SV45, LMG 24795, RODXS3, DSM 19970	787764	
Demequina	oxidasica		61:1327*	sp. nov. (VP)	Ue et al. 2011		1	YM05-1041, KCTC 19746, MBIC 08346, NBRC 106264	789283	
Demequina	salsinemoris		60:1209*	sp. nov. (VP)	Matsumoto et  al. 2010		1	KV-810, DSM 22060, NBRC 105323	788527	
Demequina	sediminicola		63:253*	sp. nov. (VP)	Hamada et al. 2013		1	HR08-43, DSM 24867, NBRC 105855	790421	
Demetria			47:1132*	gen. nov. (VP)	Groth et al. 1997				515487	
Demetria	terragena		47:1132*	sp. nov. (VP)	Groth et al. 1997		1	2002-46, DSM 11295, HKI 0089	775500	
Dendrosporobacter			50:105*	gen. nov. (VP)	Strömpl et al. 2000				515488	
Dendrosporobacter	quercicolus		50:105*	comb. nov. (VP)	(Stankewich et al. 1971) Strömpl et al. 2000		1	ATCC 25974, DSM 1736	775501	
Denitratisoma			56:1549*	gen. nov. (VP)	Fahrbach et al. 2006				517219	
Denitratisoma	oestradiolicum		56:1550*	sp. nov. (VP)	Fahrbach et al. 2006		1	AcBE2-1, DSM 16959, JCM 12830	783727	
Denitrobacterium			50:636*	gen. nov. (VP)	Anderson et al. 2000				517220	
Denitrobacterium	detoxificans		50:637*	sp. nov. (VP)	Anderson et al. 2000		1	ATCC 700546, NPOH1	783728	
Denitrovibrio			50:1618*	gen. nov. (VP)	Myhr and Torsvik 2000				515490	
Denitrovibrio	acetiphilus		50:1618*	sp. nov. (VP)	Myhr and Torsvik 2000		1	DSM 12809, N2460	775504	
Dermabacter			39:93	gen. nov. (VL)	Jones and Collins 1989				515491	
Dermabacter	hominis		39:93	sp. nov. (VL)	Jones and Collins 1989	misspelled in Validation List No 28 (hominus)	1, +	DSM 7083, NCFB 2769, S69	775505	
Dermabacter	jinjuensis		66:2576*	sp. nov. (VP)	Park et al. 2016			32, NCCP 16133, DSM 101003	794255	
Dermabacter	vaginalis		66:1885*	sp. nov. (VP)	Chang et al. 2016	In the original publication by Chang et al. 2016, p. 1885,  the DSM number is mistakenly given as DSM 10050		AD1-86, KCTC 39585, DSM 100050	794030	
Dermacoccus			45:689*	gen. nov. (VP)	Stackebrandt et al. 1995				515492	
Dermacoccus	abyssi		56:1235*	sp. nov. (VP)	Pathom-aree et al. 2006		1	DSM 17573, MT1.1, NCIMB 14084	775506	
Dermacoccus	barathri		56:2306*	sp. nov. (VP)	Pathom-aree et al. 2006		1	MT2.1, DSM 17574, NCIMB 14081	785525	
Dermacoccus	nishinomiyaensis		45:689*	comb. nov. (VP)	(Oda 1935) Stackebrandt et al. 1995		1	ATCC 29093, CCM 2140, DSM 20448, IMET 11365	775508	
Dermacoccus	profundi		56:2306*	sp. nov. (VP)	Pathom-aree et al. 2006		1	MT2.2, DSM 17575, NCIMB 14084	785526	
Dermatophilus			30:289 (AL)	genus (AL)	(Van Saceghem 1915) Gordon 1964 emend. Hamada et al. 2010				515493	
Dermatophilus	chelonae		45:55*	sp. nov. (VP)	Masters et al. 1995		2, t	ATCC 51576, DSM 44178, W16	775510	789103
Dermatophilus	congolensis		30:289 (AL)	species (AL)	(Van Saceghem 1915) Gordon 1964		2, Z	ATCC 14637, DSM 44180	775511	
Derxia			30:290 (AL)	genus (AL)	Jensen et al. 1960				515495	
Derxia	gummosa		30:290 (AL)	species (AL)	Jensen et al. 1960		1	ATCC 15994, DSM 723, NCIB 9064	775514	
Derxia	lacustris		63:969*	sp. nov. (VP)	Chen et al. 2013		1	HL-12, BCRC 80208, KCTC 23311	790596	
Desemzia			49:187*	gen. nov. (VP)	Stackebrandt et al. 1999				515498	
Desemzia	incerta		49:187*	comb. nov. (VP)	(Steinhaus 1941) Stackebrandt et al. 1999		1	ATCC 8363, DSM 20581, IMET 11074, NCIB 9892	775517	
Desertibacter			61:1111*	gen. nov. (VP)	Liu et al. 2011 emend. Jiang et al. 2014	emended description: IJSEM 64:3693*			518086	
Desertibacter	roseus		61:1112*	sp. nov. (VP)	Liu et al. 2011		1	2622, CCTCC AB 208152, KCTC 22436	789196	
Desertibacter	xinjiangensis		64:3694*	sp. nov. (VP)	Jiang et al. 2014			M71, CCTCC AB 209291, CIP 110127	792312	
Desmospora			59:458*	gen. nov. (VP)	Yassin et al. 2009 emend. Zhang et al. 2015	emended description: IJSEM 65:2627*			517847	
Desmospora	activa		59:458*	sp. nov. (VP)	Yassin et al. 2009		1, +	IMMIB L-1269, DSM 45169, CCUG 55916	787737	
Desmospora	profundinema		65:2628*	sp. nov. (VP)	Zhang et al. 2015			SCSIO 11154, DSM 45903, NBRC 109626	793102	
Desulfacinum			45:88*	gen. nov. (VP)	Rees et al. 1995 emend. Sievert and Kuever 2000	emended description: IJSEM 50:1244*			517003	
Desulfacinum	hydrothermale		50:1244*	sp. nov. (VP)	Sievert and Kuever 2000		1	DSM 13146, MT-96	775519	
Desulfacinum	infernum		45:88*	sp. nov. (VP)	Rees et al. 1995		1	ACM 3991, BalphaG1, DSM 9756	775520	
Desulfarculus			56:2	gen. nov. (VL)	Kuever et al. 2006				515500	
Desulfarculus	baarsii		56:2	comb. nov. (VL)	(Widdel 1981) Kuever et al. 2006		1	2st14, ATCC 33931, DSM 2075, VKM B-1802	775522	
Desulfatibacillum			54:81*	gen. nov. (VP)	Cravo-Laureau et al. 2004 emend. Cravo-Laureau et al. 2004				515501	
Desulfatibacillum	aliphaticivorans		54:81*	sp. nov. (VP)	Cravo-Laureau et al. 2004		1	ATCC BAA-743, CV2803, DSM 15576	775523	
Desulfatibacillum	alkenivorans		54:1641*	sp. nov. (VP)	Cravo-Laureau et al. 2004		1	ATCC BAA-924, DSM 16219, PF2803	775524	
Desulfatiferula			57:2701*	gen. nov. (VP)	Cravo-Laureau et al. 2007				515506	
Desulfatiferula	berrensis		64:543*	sp. nov. (VP)	Hakil et al. 2014		1	BE2801, DSM 25524, JCM 18157	791524	
Desulfatiferula	olefinivorans		57:2701*	sp. nov. (VP)	Cravo-Laureau et al. 2007		1	LM2801, DSM 18843, JCM 14469	786935	
Desulfatiglans			64:3085*	gen. nov. (VP)	Suzuki et al. 2014				518640	
Desulfatiglans	anilini		64:3085*	comb. nov. (VP)	(Schnell et al. 1990) Suzuki et al. 2014		1	Ani1, ATCC 49792, DSM 4660	792171	
Desulfatiglans	parachlorophenolica		64:3085*	sp. nov. (VP)	Suzuki et al. 2014			DS, JCM 19179, DSM 27197	792172	
Desulfatirhabdium			58:113*	gen. nov. (VP)	Balk et al. 2008				517745	
Desulfatirhabdium	butyrativorans		58:113*	sp. nov. (VP)	Balk et al. 2008		1	HB1, DSM 18734, JCM 14470	787127	
Desulfatitalea			63:764*	gen. nov. (VP)	Higashioka et al. 2013				518278	
Desulfatitalea	tepidiphila		63:764*	sp. nov. (VP)	Higashioka et al. 2013		1	S28bF, DSM 23472, NBRC 107166	790529	
Desulfitibacter			56:2835*	gen. nov. (VP)	Nielsen et al. 2006				517484	
Desulfitibacter	alkalitolerans		56:2835*	sp. nov. (VP)	Nielsen et al. 2006		1	sk.kt5, DSM 16504, JCM 12761	785767	
Desulfitispora			60:1477	gen. nov. (VL)	Sorokin and Muyzer 2010				517970	
Desulfitispora	alkaliphila		60:1477	sp. nov. (VL)	Sorokin and Muyzer 2010		1	DSM 22410, UNIQEM U794	788502	
Desulfitispora	elongata		67:401*	sp. nov. (VP)	Sorokin and Chernyh 2017			Acr1, DSM 29990, UNIQEM U994	795108	
Desulfitobacterium			44:615*	gen. nov. (VP)	Utkin et al. 1994				515502	
Desulfitobacterium	aromaticivorans		60:693*	sp. nov. (VP)	Kunapuli et al. 2010		1	UKTL, DSM 19510, JCM 15765	786554	
Desulfitobacterium	chlororespirans		51:793	sp. nov. (VL)	Sanford et al. 2001		1	ATCC 700175, Co23, DSM 11544	775525	
Desulfitobacterium	dehalogenans		44:615*	sp. nov. (VP)	Utkin et al. 1994		1	DSM 9161, JW/IU-DC1	775526	
Desulfitobacterium	frappieri		46:1012*	sp. nov. (VP), heterotypic syn.	Bouchard et al. 1996	synonymy: AEM 67:5578	1	ATCC 700357, DSM 12420, PCP-1	775527	775528
Desulfitobacterium	hafniense		46:446*	sp. nov. (VP)	Christiansen and Ahring 1996 emend. Niggemyer et al. 2001	emended description: AEM 67:5578	1	DCB-2, DSM 10664	775528	
Desulfitobacterium	metallireducens		52:1934*	sp. nov. (VP)	Finneran et al. 2002		1	853-15A, ATCC BAA-636	775529	
Desulfobacca			49:348*	gen. nov. (VP)	Oude Elferink et al. 1999				517004	
Desulfobacca	acetoxidans		49:349*	sp. nov. (VP)	Oude Elferink et al. 1999		1	ASRB2, DSM 11109	775532	
Desulfobacter			31:382	gen. nov. (VL)	Widdel 1981				517005	
Desulfobacter	curvatus		38:328	sp. nov. (VL)	Widdel 1988		1	AcRM 3, ATCC 43919, DSM 3379	775533	
Desulfobacter	giganteus		38:328	orthographically incorrect name	Esnault et al. 1988	error in List No 26; should read Desulfovibrio	1	8601, DSM 4123	783729	775681
Desulfobacter	halotolerans		48:327	sp. nov. (VL)	Brandt and Ingvorsen 1998		1	DSM 11383, GSL-Ac1	775534	
Desulfobacter	hydrogenophilus		38:328	sp. nov. (VL)	Widdel 1988		1	AcRS 1, ATCC 43915, DSM 3380	775535	
Desulfobacter	latus		38:328	sp. nov. (VL)	Widdel 1988		1	AcRS 2, ATCC 43918, DSM 3381	775536	
Desulfobacter	postgatei		31:382	sp. nov. (VL)	Widdel 1981		1	2ac9, Dangast, DSM 2034	775537	
Desulfobacter	vibrioformis		47:1127*	sp. nov. (VP)	Lien and Beeder 1997		1	B54, DSM 8776	775540	
Desulfobacterium			38:136	gen. nov. (VL)	Bak and Widdel 1988				517006	
Desulfobacterium	anilini		40:320	sp. nov. (VL)	Schnell et al. 1990		1	Ani1, DSM 4660	775541	792171
Desulfobacterium	autotrophicum		38:328	sp. nov. (VL)	Brysch et al. 1988		1	ATCC 43914, DSM 3382, HRM 2	775542	
Desulfobacterium	catecholicum		38:136	sp. nov. (VL)	Szewzyk and Pfennig 1988		1	DSM 3882, NZva20	775543	
Desulfobacterium	cetonicum		44:370	sp. nov. (VL)	Galushko and Rozanova 1994		1	480, DSM 7267, VKM B-1975	775544	775608
Desulfobacterium	indolicum		38:136	sp. nov. (VL)	Bak and Widdel 1988		1	DSM 3383, In 04	775546	
Desulfobacterium	macestii		39:495	sp. nov. (VL)	Gogotova and Vainstein 1989		1	DSM 4194, M-9, VKM B-1598	775547	775585
Desulfobacterium	niacini		56:1	sp. nov. (VL)	Kuever et al. 2006		1	DSM 2650, JCM 12294, NAV-1	775548	
Desulfobacterium	phenolicum		38:136	sp. nov. (VL)	Bak and Widdel 1988		1	DSM 3384, Ph 01	775550	775554
Desulfobacterium	vacuolatum		56:1	sp. nov. (VL)	Kuever et al. 2006		1	DSM 3385, IbRM, JCM 12295	775552	
Desulfobacula			50:1415	gen. nov. (VL)	Rabus et al. 2000 emend. Kuever et al. 2001	emended description: IJSEM 51:176*			517007	
Desulfobacula	phenolica		51:175*	comb. nov. (VP)	(Bak and Widdel 1988) Kuever et al. 2001		1	DSM 3384, Ph 01	775554	
Desulfobacula	toluolica		50:1415	sp. nov. (VL)	Rabus et al. 2000		1	DSM 7467, Tol2	775556	
Desulfobaculum			62:1574*	gen. nov. (VP)	Zhao et al. 2012				518220	
Desulfobaculum	xiamenense		62:1574*	sp. nov. (VP)	Zhao et al. 2012	the spelling of the specific epithet has been on notification IJSEM 62:2314	1	P1, CGMCC 1.5166, DSM 24233	789988	
Desulfobotulus			59:923	gen. nov. (VL)	Kuever et al. 2009				517856	
Desulfobotulus	alkaliphilus		60:1009	sp. nov. (VL)	Sorokin et al. 2010		1	ASO4-4, DSM 22078, UNIQEM U759	788307	
Desulfobotulus	sapovorans		59:923	comb. nov. (VL)	(Widdel 1981) Kuever et al. 2009		1	1pa3, Lindhorst, ATCC 33892, DSM 2055	787829	
Desulfobulbus			31:382	gen. nov. (VL)	Widdel 1981				517008	
Desulfobulbus	alkaliphilus		62:2112*	sp. nov. (VP)	Sorokin et al. 2012		1	APS1, DSM 24258, UNIQEM U900	790133	
Desulfobulbus	elongatus		35:223	sp. nov. (VL)	Samain et al. 1985		1	DSM 2908, FP	775557	
Desulfobulbus	japonicus		57:854*	sp. nov. (VP)	Suzuki et al. 2007		1	Pro1, JCM 14043, DSM 18378	775558	
Desulfobulbus	marinus		63:1	sp. nov. (VL)	Kuever et al. 2013		1	3pr10, DSM 2058, JCM 13489	790423	
Desulfobulbus	mediterraneus		52:1437	sp. nov. (VL)	Sass et al. 2002		1	86FS1, DSM 13871	775559	
Desulfobulbus	oligotrophicus		67:280*	sp. nov. (VP)	El Houari et al. 2017			Prop6, DSM 103420, JCM 31535	795100	
Desulfobulbus	propionicus		31:382	sp. nov. (VL)	Widdel 1981		1	1pr3, ATCC 33891, DSM 2032, Lindhorst	775560	
Desulfobulbus	rhabdoformis		48:473*	sp. nov. (VP)	Lien et al. 1998		1	DSM 8777, M16	775561	
Desulfocapsa			47:601	gen. nov. (VL)	Janssen et al. 1997				517009	
Desulfocapsa	sulfexigens		50:1699	sp. nov. (VL)	Finster et al. 2000	nom. corrig.: IJSEM 50:1699; <I>Desulfocapsa sulfoexigens</I> (sic)	1	DSM 10523, SB164P1	775564	
Desulfocapsa	thiozymogenes		47:601	sp. nov. (VL)	Janssen et al. 1997		1	Bra2, DSM 7269	775565	
Desulfocarbo			64:2913*	gen. nov. (VP)	An and Picardal 2014				518600	
Desulfocarbo	indianensis		64:2913*	sp. nov. (VP)	An and Picardal 2014			SCBM, JCM 19826, DSM 28127	792062	
Desulfocella			49:198*	gen. nov. (VP)	Brandt et al. 1999				517010	
Desulfocella	halophila		49:199*	sp. nov. (VP)	Brandt et al. 1999		1	ATCC 700426, DSM 11763, GSL-But2	775566	
Desulfococcus			31:382	gen. nov. (VL)	Widdel 1981				517011	
Desulfococcus	biacutus		41:580	sp. nov. (VL)	Platen et al. 1991		1	DSM 5651, KMRActs	775567	
Desulfococcus	multivorans		31:382	sp. nov. (VL)	Widdel 1981		1	1be1, ATCC 33890, DSM 2059, Göttingen	775568	
Desulfoconvexum			63:963*	gen. nov. (VP)	Könneke et al. 2013				518315	
Desulfoconvexum	algidum		63:963*	sp. nov. (VP)	Könneke et al. 2013		1	JHA1, DSM 21856, JCM 16085	790560	
Desulfocucumis			67:2681*	gen. nov. (vp)	Watanabe et al. 2017				519228	
Desulfocucumis	palustris		67:2682*	sp. nov. (VP)	Watanabe et al. 2017			NAW-5, DSM 102911, NBRC 112242	795684	
Desulfocurvus			59:3102*	gen. nov. (VP)	Klouche et al. 2009				517928	
Desulfocurvus	thunnarius		63:4241*	sp. nov. (VP)	Hamdi et al. 2013		1	Olac 40, DSM 26129, JCM 18546	791254	
Desulfocurvus	vexinensis		59:3103*	sp. nov. (VP)	Klouche et al. 2009		1	VNs36, DSM 17965, JCM 14038	788282	
Desulfofaba			49:1641*	gen. nov. (VP)	Knoblauch et al. 1999 emend. Abildgaard et al. 2004	emended description: IJSEM 54:398*			517012	
Desulfofaba	fastidiosa		54:399*	sp. nov. (VP)	Abildgaard et al. 2004		1	ATCC BAA-815, DSM 15249, P2	775573	
Desulfofaba	gelida		49:1641*	sp. nov. (VP)	Knoblauch et al. 1999		1	DSM 12344, PSv29	775574	
Desulfofaba	hansenii		54:398*	comb. nov. (VP)	(Finster et al. 2001) Abildgaard et al. 2004		1	ATCC 700811, DSM 12642, P1	775575	
Desulfofrigus			49:1640*	gen. nov. (VP)	Knoblauch et al. 1999				517013	
Desulfofrigus	fragile		49:1641*	sp. nov. (VP)	Knoblauch et al. 1999		1	DSM 12345, LSv21	775576	
Desulfofrigus	oceanense		49:1640*	sp. nov. (VP)	Knoblauch et al. 1999		1	ASv26, DSM 12341	775577	
Desulfofustis			46:1067*	gen. nov. (VP)	Friedrich et al. 1996				517014	
Desulfofustis	glycolicus		46:1067*	sp. nov. (VP)	Friedrich et al. 1996		1	DSM 9705, PerGlyS	775578	
Desulfoglaeba			56:2741*	gen. nov. (VP)	Davidova et al. 2006				517485	
Desulfoglaeba	alkanexedens		56:2741*	sp. nov. (VP)	Davidova et al. 2006		1	ALDC, JCM 13588, ATCC BAA-1302	785772	
Desulfohalobium			41:78*	gen. nov. (VP)	Ollivier et al. 1991				517015	
Desulfohalobium	retbaense		41:78*	sp. nov. (VP)	Ollivier et al. 1991		1	DSM 5692, HR100	775580	
